Name,pmid,shorthand
Rana,70430,R.
Porcellio,115392,P.
Drosophila,115745,D.
Felis,170535,F.
Sphaeroma,198154,S.
Rana,304017,R.
Rana,308951,R.
Rana,316396,R.
Chrysocarabus,405118,C.
Chrysotribax,405118,C.
Aotus,405286,A.
Drosophila,407125,D.
Drosophila,414964,D.
Triturus,487910,T.
Chiasmata,487910,C.
Peromyscus,490135,P.
Schistosoma,541492,S.
Boophilus,571591,B.
Acarina,571591,A.
Mus,591872,M.
Strongyloides,592051,S.
Putorius,627343,P.
Schistosoma,659822,S.
Bulinus,659822,B.
Bombina,678297,B.
Canis,691134,C.
Schistosoma,695826,S.
Brugia,704146,B.
Mus,720506,M.
Triturus,738161,T.
Mus,744873,M.
Cnemidophorus,778325,C.
Rana,806650,R.
Bacillus,807252,B.
Drosophila,811203,D.
Drosophila,811205,D.
Drosophila,814050,D.
Drosophila,823072,D.
Cebus,827485,C.
Drosophila,828493,D.
Sarcophaga,844547,S.
Drosophila,863226,D.
Trimerotropis,870293,T.
Amoeba,890742,A.
Rana,893563,R.
Trichinella,902986,T.
Strongylocentrotus,934595,S.
Spermophilus,950012,S.
Drosophila,1001143,D.
Lepomis,1008802,L.
Strongylocentrotus,1023080,S.
Drosophila,1023085,D.
Drosophila,1026880,D.
Anopheles,1032337,A.
Equus,1060807,E.
Biomphalaria,1072601,B.
Rana,1080794,R.
Biomphalaria,1111353,B.
Drosophila,1114355,D.
Drosophila,1124437,D.
Rattus,1149576,R.
Drosophila,1163851,D.
Drosophila,1167128,D.
Drosophila,1213294,D.
Drosophila,1215013,D.
Macropus,1225290,M.
Lepomis,1248735,L.
Schistosoma,1274385,S.
Drosophila,1295856,D.
Nosopsyllus,1297970,N.
Drosophila,1325940,D.
Bombyx,1325940,B.
Drosophila,1334904,D.
Aprocta,1339982,A.
Corvus,1339982,C.
Rana,1352842,R.
Bacillus,1449790,B.
Poeciliopsis,1449790,P.
Rana,1449790,R.
Oryzias,1453158,O.
Drosophila,1506023,D.
Fundulus,1549614,F.
Gila,1557380,G.
Moapa,1557380,M.
Drosophila,1559838,D.
Strongylocentrotus,1576960,S.
Lytechinus,1576960,L.
Drosophila,1578104,D.
Drosophila,1628819,D.
Microtus,1649782,M.
Drosophila,1653752,D.
Balaenoptera,1679066,B.
Balaenoptera,1687408,B.
Drosophila,1756962,D.
Drosophila,1757273,D.
Boophilus,1770510,B.
Anopheles,1773123,A.
Drosophila,1774187,D.
Anopheles,1791454,A.
Drosophila,1802793,D.
Drosophila,1820022,D.
Mus,1822432,M.
Phlebotomus,1841213,P.
Lutzomyia,1841263,L.
Drosophila,1849860,D.
Drosophila,1879682,D.
Drosophila,1880047,D.
Drosophila,1917547,D.
Drosophila,1917552,D.
Odocoileus,1920279,O.
Schistosoma,1928567,S.
Bulinus,1928567,B.
Xenopsylla,1935257,X.
Oreochromis,1939607,O.
Culex,1941905,C.
Lytechinus,2010039,L.
Strongylocentrotus,2010039,S.
Mus,2052565,M.
Drosophila,2055454,D.
Drosophila,2061093,D.
Drosophila,2064801,D.
Schistosoma,2074140,S.
Drosophila,2108905,D.
Drosophila,2111301,D.
Crotalus,2120798,C.
Schistosoma,2126549,S.
Drosophila,2134899,D.
Schistosoma,2149382,S.
Eulemur,2209089,E.
Rhipicephalus,2279456,R.
Acarina,2279456,A.
Drosophila,2292491,D.
Drosophila,2332612,D.
Lepeophtheirus,2348169,L.
Psetta,2348169,P.
Scophthalmus,2348169,S.
