year,end,label,second lab,category
1930,1990,Classic Era,,era
1990,2010,Hybrid zones as natural laboratories,,era
2010,2020,Evidence of widespread hybridization,,era
2020,2026,The genetic and evolutionary consequences of hybridization,,era
1937,1938,Dobzhansky 1937,First hybrid incompatibility models,paper
1942,1943,Muller 1942,First hybrid incompatibility models,paper
1942,1943,Mayr 1942,Mayr's speciation treatise,paper
1953,1954,Anderson 1953,Introgression as an important evolutionary driver,paper
1985,1986,Barton & Hewitt 1985,Compendium of hybrid zones,paper
1989,1990,Coyne & Orr 1989,Two rules of speciation,paper
1990,1991,Harrison 1990,Hybrid zones as windows on evolution,paper
2000,2001,Pritchard et al. 2000,STRUCTURE published,paper
2001,2002,Wu 2001,Genic view of speciation,paper
2005,2006,Mallet 2005,Hybridization as an invasion of the genome,paper
2009,2010,Alexander et al. 2009,ADMIXTURE published,paper
2010,2011,Green et al. 2010,Patterson's D-statistic,paper
2015,2016,Pease and Hahn 2015,DFOIL for five taxon introgression,paper
2018,2019,Grabenstein et al. 2018,Synthesis of anthropogenic effects on hybridization,paper
2021,2022,Malinksy et al. 2021,Dsuite for detecting introgression,paper
